district,school_name,poa_school_net,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Yau Tsim Mong,Tai Kok Tsui Catholic Primary School (Hoi Fan Road),32,http://www.tktcpshfr.edu.hk,Aided,Whole Day,Co-ed,Catholicism,6132,Chinese,-,-,-,Yes,-,30,1,3,1,"18 special rooms: Computer Lab, STEAM Room, Multiple Intelligence Studio, Music Room, 21st Century Visual Art Room, Smart General Studies Room, English Room, Mathematics Room, Civic Education Resources Room and Games Room, etc.",Accessible lift.,57,59,100,98,39,77,15,18,67,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:15,AM,3:30,PM,"1. To facilitate students' learning motivation and create an autonomous learning atmosphere. <br>2. To cultivate students' positive values and enhance their physical and mental health, thereby nurturing them to be good children who care and love others and possess civic qualities. "
Yau Tsim Mong,C.C.C. Wanchai Church Kei To Primary School,31,http://keito.school.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,3277,Chinese,-,-,-,-,-,18,1,1,1,"AI Space, Library, Music Room, Student Activity Room, Counselling Room, Information Technology Room, Visual Arts Room, English Room, Staff Room, Guest Room and Religious Room.",Accessible lift and Accessible toilet.,35,39,95,97,28,71,26,20,54,3,3,3,3,3,3,18,2,3,3,3,3,3,17,1,1,Yes,1,2,Yes,Yes,8:00,AM,3:15,PM,1. Cultivate students' reading interest.<br>2. Promote value education and build students' positive values.<br>3. Enhance students' general satisfaction by building a lively campus.
Yau Tsim Mong,Jordan Road Government Primary School,31,https://www.jrgps.edu.hk/,Gov't,Whole Day,Co-ed,Not Applicable,1627,Chinese & English,-,-,"Queen Elizabeth School, Homantin Government Secondary School,<br>Jockey Club Government Secondary School, Kowloon Technical School",-,-,22,1,1,1,"English Reading Room, Visual Arts Room, Music Room, Computer Room, Activity Room, Arts and Music Room, Students Guidance Room, STEAM Room, Teaching Resource Room, Broadcast Room and Fitness Room.","Ramp, Accessible lift, Accessible toilet, Visual fire alarm system and Wheelchair lift at entrance.",38,42,100,100,29,74,10,15,75,4,3,3,3,3,3,19,4,4,3,3,3,3,20,1,1,Yes,1,2,Yes,Yes,8:20,AM,3:15,PM,"1. Strengthen students' self-management skills and foster the spirit of self-discipline and love for others.<br>2. Foster students' communication, problem-solving, and inquiry skills, promote students' independent learning and enhance their learning performance."
Yau Tsim Mong,St. Mary's Canossian School,31,http://www.smcs.edu.hk,Aided,Whole Day,Girls,Catholicism,6780,Chinese(incl.: Putonghua) and English,St. Mary's Canossian College,-,-,Yes,-,24,1,2,1,"10 rooms (Art Room, Music Rooms, Computer Room, Multi-Media Room, STEAM LAB, Marian Maker Space, Marian Cave Plus (Immersive Learning Room), Remedial Rooms, Activities Room).","Ramp, Accessible lift, Accessible toilet and Visual fire alarm system.",44,44,100,56,44,63,16,33,51,4,4,4,4,4,4,24,4,4,4,4,4,4,24,2,2,Yes,2,2,No,Yes,8:05,AM,3:00,PM,"1. We implement the Canossian educational philosophy to nurture students’ spiritual growth, helping them understand, experience, and transmit the core values of Canossian education for holistic development.<br>2. Lead a healthy lifestyle, develop personal hobbies and talents in order to achieve a balanced physical and mental development.<br>3. We actively promote STEAM education to enhance students’ general competencies."
Yau Tsim Mong,TWGHs Lo Yu Chik Primary School,31,http://www.twghlycp.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,2550,Chinese,-,-,-,Yes,-,30,1,1,1,"English Room, Library, Computer Room, STEAM Room, Music Room, Visual Arts Room, Guidance Room.","Ramp, Accessible lift and Accessible toilet.",47,50,100,100,34,50,4,6,90,3,3,3,5,5,5,24,3,3,3,3,5,5,22,0,2,Yes,0,3,Yes,Yes,8:35,AM,3:30,PM,1. Promote positive values education and cultivate students’ civic virtues<br>2. Enhance students' learning motivation and foster a community of enthusiastic learners.
Yau Tsim Mong,Tak Sun School,31,http://www.taksun.edu.hk,Aided,Whole Day,Boys,Catholicism,4000,Chinese,-,-,Tak Sun Secondary School,Yes,-,24,1,3,1,"Meeting Rooms, Multi-purpose rooms, Campus TV room, STEAM room, Music Room, Art Room, Library and Games Room.","Ramp, Accessible lift, Accessible toilet and Braille and tactile floor plan.",48,53,100,98,42,62,18,21,61,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,1,2,Yes,Yes,8:00,AM,3:00,PM,"Overall learning objective: Christian Gentlemen with a Global Outlook. Posses Diligence, Joy, Charity and Courage!"
Yau Tsim Mong,Tung Koon District Society Fong Shu Chuen School,31,http://www.tkfsc-school.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,4000,Chinese,-,-,-,-,-,30,2,2,1,"Computer Room, STEAM Coding Room, School Library, Audio/Visual Room, English Room, STEAM LAB, Student Activity Room, Visual Arts Room, Music Room, Maker Space, Kiddy Jolly Room, Sports Playhouse and Chinese Learning Room.","Ramp, Accessible lift and Accessible toilet.",34,37,100,100,54,74,3,38,59,2,2,2,3,4,3,16,2,2,2,2,3,4,15,1,2,Yes,1,2,Yes,Yes,8:00,AM,3:30,PM,1.Foster a healthy school environment and cultivate positive values in students. 2.Enhance learning and teaching continuously.
Yau Tsim Mong,Yaumati Catholic Primary School,31,http://www.ymtcps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,4000,Chinese,-,-,-,-,Yes,30,2,1,1,"Multi-purpose Rooms, Multi-media Learning Centre, SMART LAB, Visual Art Room, 2 Music Rooms, Student Counselling & Activity Room, STEM LAB, English Room, Smart library.",Accessible lift.,59,60,98,100,32,36,12,15,73,5,5,5,5,5,5,30,5,5,5,5,5,5,30,2,2,No,2,2,Yes,Yes,8:15,AM,3:20,PM,1. Develop new thoughts of teaching in order to promote diversification of learning and enhance learning interests of students.<br>2. Strengthen value education and raise their awareness of national identity for reinforcing students' positive thinking.
Yau Tsim Mong,Yaumati Catholic Primary School (Hoi Wang Road),31,http://www.ycps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,9900,Chinese(incl.: Putonghua) and English,-,-,-,Yes,Yes,30,1,3,1,"InnoSTREAMers Classroom, Visual Arts Room, Music Room, General Studies Room, Religious Studies Room, CoolThink Classroom, Activities Room, School Campus TV Station, English Corner, Space Library.",Accessible lift and Accessible toilet.,58,64,91,98,35,28,19,19,62,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,No,No,7:55,AM,2:45,PM,"Our school is guided by the vision and mission of promoting the five core values of Catholic education. In line with this, we actively foster the school-based STR²EA²M approach and actuate positive value education to cultivate a healthy and harmonious learning environment for our students."
Yau Tsim Mong,Yaumati Kaifong Association School,31,http://www.ymtkfas.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,2484,English,-,-,-,-,-,12,1,1,1,"Computer Room, Music Room, Language Room, Visual Art Room, Counselling Room, Conference Room, Resource Room.",Accessible lift.,30,34,100,100,47,80,3,15,82,2,2,2,2,2,2,12,2,2,2,2,2,2,12,1,2,No,1,2,No,No,8:15,AM,3:25,PM,"We encourage students to become self-learners. We have been promoting a spirit of unity and harmony in school. We expect students to respect one another, be supportive and accept differences in others' cultural and religious backgrounds."
Yau Tsim Mong,C.C.C. Heep Woh Primary School,32,http://www.heepwoh.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,5000,Chinese(incl.: Putonghua),-,-,-,Yes,Yes,36,3,2,1,"Comprehensive Learning Resource Center, STEAM room, Library, Dance Studio, Music Room, IRTP Room, English Reading Room, Computer Room, TV Campus, Botanical Garden, English Step Up Room, etc.",Accessible toilet.,69,70,100,100,34,62,16,34,50,6,6,6,6,6,6,36,6,6,6,6,6,6,36,0,2,Yes,0,3,Yes,Yes,8:15,AM,3:30,PM,"1. Love yourself and others, be loyal to China. <br>2. Self-motivate and encourage yourself, work independently to pursue progress."
Yau Tsim Mong,C.C.C. Kei Tsun Primary School,32,http://www.cccktps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,6769,Chinese,-,-,-,-,Yes,27,1,1,1,"Blackbox theatre, STEAM room, English room, General Studies room, Visual Arts room, music room, group learning room, computer room, multi-purpose room and social worker room<br><br>","Ramp, Accessible lift and Accessible toilet.",33,38,100,100,38,43,24,22,54,2,2,2,3,3,4,16,2,2,2,2,3,3,14,0,0,Yes,0,2,Yes,Yes,8:00,AM,3:05,PM,"1. Master learnings from lessons, cultivate initiative, and built-up self-confidence.<br>2. Better self-understanding, potential development and dreams exploration."
Yau Tsim Mong,Fresh Fish Traders' School,32,http://www.ffts.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,1000,Chinese(incl.: Putonghua) and English,-,-,-,-,Yes,12,1,1,1,"Library, English Wonderland, Campus TV, Coding & Computer Lab, Visual art room, Music room, Counselling & activity room, Student activities Centre, Multi-media conferencing room, Future Lab","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",23,25,100,100,35,91,32,28,40,1,1,2,2,2,2,10,1,1,1,2,2,2,9,0,0,Yes,2,2,Yes,Yes,8:15,AM,3:40,PM,1. Self-directed Learning<br>2. Promoting healthy lifestyle
Yau Tsim Mong,S.K.H. Kei Wing Primary School,32,http://www.skhkwps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,1650,Chinese,-,-,-,-,-,24,1,2,1,"Computer Room, Music Room,   English Room, library, Play Therapy Room and Staff Room.",,50,53,98,96,33,64,10,4,86,4,4,4,4,4,4,24,4,4,4,4,4,4,24,2,2,No,2,2,No,Yes,8:05,AM,3:15,PM,1. To enhance learning and teaching effectiveness:  <br>     - Consolidate students' self-directed learning skills.  <br>     - Promote teachers' professionalism and enhance classroom teaching effectiveness by strengthening students' self-directed learning abilities.<br>2. Establish a positive campus atmosphere  <br>     - Enhance students' sense of accomplishment through praising and exhibiting students' achievements.
Yau Tsim Mong,Tai Kok Tsui Catholic Primary School,32,http://www.tktcps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,10320,Chinese,-,-,-,Yes,-,30,2,1,1,"Chapel, Computer rooms, STEAM LAB, 2 Music Rooms, Art Room, Seed Room, English Room, Activity Room, Parent-Teacher Association Room and Tuck Shop, Evangelization Room, Campus TV.",Accessible lift.,55,55,100,100,43,55,9,27,64,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,0,Yes,0,3,Yes,Yes,8:05,AM,3:15,PM,"1. Foster the values of law-abidingness, filial piety, and national identity in students, guiding them to become individuals who love God, love others, and love themselves.<br>2. Enrich students' learning experiences and enhance their education through diverse learning opportunities."
Yau Tsim Mong,Tong Mei Road Government Primary School,32,http://www.tmr.edu.hk/,Gov't,Whole Day,Co-ed,Not Applicable,2380,Chinese,-,-,"Queen Elizabeth School, Homantin Government Secondary School,<br>Kowloon Technical School, Jockey Club Government Secondary School",-,-,24,1,1,1,"Library, Campus TV Station, Art Room, Music Room, Student Activity Room, Computer Room, Multi-Purpose Room, Counselling Room, English Room, Parent-Teacher Resource Room, Meeting Room, Social Workers' Room.","Ramp, Accessible lift and Accessible toilet.",43,43,100,98,34,66,4,38,58,3,4,4,4,4,4,23,3,3,4,4,4,4,22,1,1,Yes,1,2,Yes,Yes,8:15,AM,3:10,PM,"1. Understanding Science Popularization for the Future — Advancing Innovation<br>and Technology Trends through STREAM Education to Deepen Students' Inquiry and Problem-Solving Skills.<br>2. Embracing a Positive Life for Family and Nation — Fostering Positive Values, Well-being, and Patriotism through Curriculum and Diverse Learning Experiences."
Yau Tsim Mong,Sharon Lutheran School,32,http://www.sharonlu.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,5700,Chinese(incl.: Putonghua) and English,-,-,-,-,Yes,28,1,1,1,"Learning Hub, STEM and Innovation Room, Distance Learning Room, Chapel, Drama/Dance Room, Multi-purpose Room, Music Room, Art Room, English Room, Religious Activity Room, Student Activity Centre",Accessible lift and Accessible toilet.,54,58,98,100,50,74,9,34,57,4,4,5,5,5,5,28,5,4,4,5,5,5,28,0,0,Yes,0,2,Yes,Yes,8:10,AM,3:15,PM,"Development of a joyful, caring school with international culture. Please also refer to our school website."
Yau Tsim Mong,Diocesan Girls' Junior School,/,http://www.dgjs.edu.hk,Private,Whole Day,Girls,Protestantism / Christianity,13000,English,Diocesan Girls' School,-,-,Yes,-,24,1,1,1,"Scripture Room, Multi-Purpose Room, Tree of Life, Language Room, Performing Arts Centre, ECA Room, Music Activity Centre, Visual Arts Centres, Student Activity Centre, Multimedia Learning Centre, STEM Room, Science Centre, Gymnasium, Hall & Library.","Ramp, Accessible lift, Accessible toilet, Tactile guide path and Supportive Education Rooms.",-,61,82,100,49,12,51,13,36,4,4,4,4,4,4,24,4,4,4,4,4,4,24,1,2,No,1,2,No,No,8:00,AM,3:30,PM,1. School campus revitalization.<br>2. Enhancing STEM and technology in teaching and learning.<br>3. Offering students a well-balanced programme that prioritizes student learning and well-being.
Yau Tsim Mong,Po Leung Kuk Camões Tan Siu Lin Primary School,/,https://www.plkctslps.edu.hk/en/index.php,DSS,Whole Day,Co-ed,Not Applicable,4000,English,-,-,-,Yes,-,30,1,2,1,"Practice Rooms for Symphony Orchestra and Chinese Orchestra, Campus TV studio, Multimedia Language Centre, Astrobase, Computer Rooms, Music Rooms, Visual Arts Rooms, Environmental Resource Centre and Language Rooms, Organic Garden.",-,-,77,96,100,35,47,35,23,42,5,5,5,5,5,5,30,5,5,5,5,5,5,30,1,1,Yes,1,2,No,No,8:00,AM,3:25,PM,1. To strengthen student ownership of learning<br>2. To create a positive school culture
Yau Tsim Mong,Kowloon Women's Welfare Club Li Ping Memorial School,34,http://www.kwwclpms.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,1050,Chinese,-,-,-,Yes,-,13,1,1,1,"STEM Room, Squash Court, Outdoor climbing wall, E-sport Centre, LP Kitchen, Music Room, Computer-assisted Learning Room, Language Room, Student Activity Centre and Interview Room.","Ramp, Accessible lift, Accessible toilet, Braille and tactile floor plan and Tactile guide path plan.",20,34,83,97,20,79,26,33,41,2,1,1,1,2,1,8,2,2,1,1,1,2,9,0,0,Yes,0,2,Yes,Yes,8:00,AM,3:45,PM,"2024/25 to 2026/27 Schools' Key Concerns: (By order of importance) <br>1. The use of AI to optimize teachers' work, promote student learning, and facilitate self-directed learning.<br>2. Using sports and cooking as entry points to strengthen Parent Education, Values Education, and Life Planning Education, among other crucial elements.<br>3. Deepen the HAPPYDEMIC SCHOOL concept by incorporating the 4Rs elements to create a happier and healthier school life for all stakeholders in the school."
Kowloon City,St. Eugene de Mazenod Oblate Primary School,34,http://www.semops.edu.hk,Aided,Whole Day,Co-ed,Catholicism,1700,Chinese,-,-,-,-,Yes,18,1,2,1,"Activity Room, Computer Room, Visual Arts Room, General Studies Room, STEAM Room, Aviation STEM Room, Music Room, Student Guidance Room, English Room and Campus TV.","Ramp, Accessible lift and Visual fire alarm system.",35,35,100,100,43,77,23,23,54,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:00,PM,"1. To strengthen STEAM education and enhance the effectiveness of learning and teaching in line with the concept of ""rejuvenating our nation through science and education"".<br>2. To deepen and expand Values Education to lay a good foundation for cultivating values and nurturing people in an ongoing way."
Tai Po,NTWJWA Christian Remembrance of Grace Primary School,/,http://www.taipocrgps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,4140,Chinese,,,,-,-,24,1,2,1,"English Language Room, Visual Art Room, Music Room, General Studies Room, Computer Room, Play Therapy Room, Chaplain Room, School Campus TV Room, Student Guidance Room, Stem Room.",,29,34,82,100,24,41,17,45,38,0,0,0,3,4,5,12,0,0,0,0,3,4,7,0,2,Yes,0,3,No,No,8:00,AM,3:25,PM,"1. Construct a self-learning atmosphere, let students be their own master of learning.<br>2. Being a community-based school campus, strengthen the effectiveness of school."
Sha Tin,TWGHs Tsoi Wing Sing Primary School,91,http://www.twghtwsps.edu.hk/,Aided,Whole Day,Co-ed,Not Applicable,9000,Chinese & English,,,,-,Yes,30,1,2,1,"Library, English room, Music rooms, Visual Arts room, STEAM Zone (Computer room), STEAM Lab (General Study room), small group teaching rooms, conference room and student activity centre.","Ramp, Accessible lift, Accessible toilet, Braille and tactile floor plan, Tactile guide path, Accessible public information / service counter and Visual fire alarm system.",61,65,88,98,25,19,29,42,29,5,5,5,5,6,5,31,5,5,5,5,5,6,31,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:20,PM,"1. Establish student learning methods, cultivate good learning habits, and increase students' learning initiative.<br>2. Foster students' correct values (respect, sense of responsibility), enhance positive relationships, and establish an active and healthy lifestyle."
Yuen Long,Zenith English Primary School,,https://zenithkindergarten.edu.hk,Private,Whole Day,Co-ed,Not Applicable,3000,Chinese(incl.: Putonghua) and English,,,,Yes,-,13,1,1,1,"Music Room, IT Room, Visual Art Room, Multi-purpose Room.",,-,6,60,100,20,0,30,10,60,1,1,1,1,1,1,6,1,1,1,1,1,1,6,2,2,Yes,2,2,No,No,8:30,AM,3:30,PM,1. We offer an excellent learning environment and teaching strategies to enhance effective and enjoyable.<br>2. We provide a holistic learning experience for them to develop their full potential.<br>3. We employ new technology to enhance teaching and learning.
Yuen Long,ELCHK Lutheran School,,https://elchkls.edu.hk,Private,Whole Day,Co-ed,Protestantism / Christianity,4004,English,,,,Yes,Yes,18,1,3,1,Multimedia Library; Computer Room; STEM Room; Music Room; English Room; Medical Room; Counselling Room and Multi-function Room,Counselling Room.,-,33,88,100,38,10,41,36,23,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,2,Yes,0,2,Yes,Yes,8:20,AM,3:15,PM,"1. Through the implementation of the IF plan, you can understand yourself, make good use of your personal strengths, establish positive thinking, and plan future development goals.<br>2. In the spirit of Christ, we cultivate good living habits through exercise and reading, and cooperate with the Education Bureau's 4Rs Mental Health Charter to improve physical, mental and spiritual quality.<br>3. Actively plan school-based STEM projects, encourage students to create and practice, and enhance their interest and awareness of science and technology innovation."
